,title,overview,len,ger
655,"Paris, Texas","A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",201,"Ein Mann wandert in der Wüste umher und weiß nicht, wer er ist. Sein Bruder findet ihn und hilft ihm, sich wieder an das Leben zu erinnern, das er führte, bevor er seine Familie verließ und vier Jahre zuvor verschwand."
8848,The Bank Job,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry. But Terry and his crew don't realize the boxes also contain a treasure trove of dirty secrets - secrets that will thrust them into a deadly web of corruption and illicit scandal.,336,"Martine bietet Terry eine Spur für einen narrensicheren Banküberfall in der Londoner Baker Street. Ihr Ziel ist ein Raum voller Schließfächer im Wert von Millionen in bar und Schmuck. Doch Terry und sein Team ahnen nicht, dass die Schließfächer auch einen Schatz an schmutzigen Geheimnissen enthalten - Geheimnisse, die sie in ein tödliches Netz aus Korruption und illegalen Skandalen stürzen werden."
657,From Russia With Love,"James Bond is back and on the loose in exotic Istanbul looking for a super-secret coding machine. He's involved with a beautiful Russian spy and has the SPECTRE organization after him, including villainess Rosa Klebb - she of the killer shoe. Lots of exciting escapes but not an over reliance on the gadgetry of the later films. The second James Bond feature, thought by many to be the best.",391,"James Bond ist zurück und im exotischen Istanbul auf der Suche nach einer supergeheimen Kodiermaschine unterwegs. Er ist mit einer schönen russischen Spionin liiert und die SPECTRE-Organisation ist hinter ihm her, einschließlich der Bösewichtin Rosa Klebb - sie hat den Killerschuh. Viele aufregende Fluchtversuche, aber kein übermäßiger Rückgriff auf die Spielereien der späteren Filme. Der zweite James-Bond-Film, der von vielen als der beste angesehen wird."
658,Goldfinger,"Bond is in Miami on holiday when M tells him to observe Auric Goldfinger. Bond steals Goldfinger's girlfriend, Jill Masterson, but after being knocked out, he awakes to find her dead and covered in gold paint. Upon returning to London, Bond is told to further investigate Goldfinger who is believed to be smuggling gold out of Britain, but warned he will be replaced if he turns the mission into a personal vendetta. After failing to befriend Goldfinger, Bond is caught spying and taken to America as a captive. Bond learns of Goldfinger's plan, codenamed Operation Grand Slam, which involves attacking Fort Knox to increase his gold riches. Can 007 find a way to stop Goldfinger despite being held prisoner? This is the third film from the legendary James Bond series starring Sean Connery as the British super agent.",818,"Bond ist in Miami im Urlaub, als M ihm sagt, er solle Auric Goldfinger beobachten. Bond stiehlt Goldfingers Freundin Jill Masterson, aber nachdem er betäubt wurde, erwacht er und findet sie tot und mit Goldfarbe bedeckt vor. Nach seiner Rückkehr nach London erhält Bond den Auftrag, Goldfinger, der Gold aus Großbritannien schmuggeln soll, weiter zu beobachten, wird aber gewarnt, dass er ersetzt wird, wenn er die Mission in einen persönlichen Rachefeldzug verwandelt. Nachdem es ihm nicht gelungen ist, sich mit Goldfinger anzufreunden, wird Bond beim Spionieren erwischt und als Gefangener nach Amerika gebracht. Bond erfährt von Goldfingers Plan, der den Codenamen Operation Grand Slam trägt und einen Angriff auf Fort Knox vorsieht, um seinen Goldreichtum zu vergrößern. Kann 007 einen Weg finden, Goldfinger zu stoppen, obwohl er gefangen gehalten wird? Dies ist der dritte Film der legendären James-Bond-Reihe mit Sean Connery in der Hauptrolle des britischen Superagenten."
74387,Goon,"Doug Glatt, a slacker who discovers he has a talent for brawling is approached by a minor league hockey coach and invited to join the team as the ""muscle."" Despite the fact that Glatt can't skate his best friend, Pat, convinces him to give it a shot, and Glatt becomes a hero to the team and their fans, until the league's reigning goon becomes threatened by Glatt's success and decides to even the score.",405,"Doug Glatt, ein Faulpelz, der entdeckt, dass er ein Talent für Schlägereien hat, wird von einem Hockeytrainer der unteren Liga angesprochen und eingeladen, dem Team als ""Muskelpaket"" beizutreten. Obwohl Glatt nicht Schlittschuh laufen kann, überredet ihn sein bester Freund Pat, es zu versuchen, und Glatt wird zum Helden der Mannschaft und ihrer Fans, bis der amtierende Schläger der Liga durch Glatts Erfolg bedroht wird und beschließt, die Rechnung zu begleichen."
660,Thunderball,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,249,"Eine kriminelle Organisation hat sich zwei Atombomben beschafft und verlangt ein Lösegeld von 100 Millionen Pfund in Form von Diamanten innerhalb von sieben Tagen, andernfalls werden sie die Waffen einsetzen. Der Geheimdienst schickt James Bond auf die Bahamas, um einmal mehr die Welt zu retten."
663,Saw IV,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.",532,"Jigsaw und seine Schülerin Amanda sind tot. Nach der Nachricht von Detective Kerrys Ermordung treffen zwei erfahrene FBI-Profiler, Agent Strahm und Agent Perez, in der verängstigten Gemeinde ein, um dem altgedienten Detective Hoffman dabei zu helfen, Jigsaws letzte grausige Überreste zu sichten und das Puzzle zusammenzusetzen. Als jedoch SWAT-Commander Rigg entführt und in ein Spiel verwickelt wird, hat der letzte von Jigsaw unberührte Beamte nur neunzig Minuten Zeit, um eine Reihe von verrückten Fallen zu überwinden und einen alten Freund zu retten ... oder die tödlichen Konsequenzen zu tragen."
8856,"The Karate Kid, Part II","Mr. Miyagi and Daniel take a trip to Okinawa to visit Mr. Miyagi's dying father. After arriving Mr. Miyagi finds he still has feelings for an old love. This stirs up trouble with an old rival who he originally left Okinawa to avoid. In the mean time, Daniel encounters a new love and also makes some enemies.",308,"Mr. Miyagi und Daniel machen eine Reise nach Okinawa, um Mr. Miyagis sterbenden Vater zu besuchen. Nach seiner Ankunft stellt Mr. Miyagi fest, dass er immer noch Gefühle für eine alte Liebe hegt. Dies führt zu Problemen mit einem alten Rivalen, dem er ursprünglich aus Okinawa entfliehen wollte. In der Zwischenzeit lernt Daniel eine neue Liebe kennen und macht sich auch einige Feinde."
665,Ben-Hur,"Ben-Hur is a 1959 epic film directed by William Wyler, the third film version of Lew Wallace's 1880 novel Ben-Hur: A Tale of the Christ. It premiered at Loew's State Theatre in New York City on November 18, 1959. The film went on to win a record of eleven Academy Awards, including Best Picture, a feat equaled only by Titanic in 1998 and The Lord of the Rings: The Return of the King in 2004. It was also the last film to win the Oscar for both Best Actor and Best Supporting Actor, until nearly 44 years later when Mystic River achieved the same feat.The movie revolves around a Jewish prince who is betrayed and sent into slavery by a Roman friend and how he regains his freedom and comes back for revenge.",709,"Ben-Hur ist ein Filmepos aus dem Jahr 1959 unter der Regie von William Wyler, die dritte Verfilmung des Romans Ben-Hur: A Tale of the Christ von Lew Wallace aus dem Jahr 1880. Er wurde am 18. November 1959 im Loew's State Theatre in New York City uraufgeführt. Der Film gewann elf Oscars, darunter den Preis für den besten Film, eine Leistung, die nur von Titanic (1998) und Der Herr der Ringe (2004) übertroffen wurde: Die Rückkehr des Königs im Jahr 2004. Es war auch der letzte Film, der den Oscar sowohl für den besten Hauptdarsteller als auch für den besten Nebendarsteller gewann, bis fast 44 Jahre später Mystic River das gleiche Kunststück gelang. Der Film dreht sich um einen jüdischen Prinzen, der von einem römischen Freund verraten und in die Sklaverei geschickt wird und wie er seine Freiheit wiedererlangt und zurückkehrt, um sich zu rächen."
667,You Only Live Twice,A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.,307,Ein geheimnisvolles Raumschiff entführt eine russische und eine amerikanische Raumkapsel und bringt die Welt an den Rand eines neuen Weltkriegs. James Bond untersucht den Fall in Japan und trifft sich mit seinem Erzfeind Blofeld. Der fünfte Film der legendären James-Bond-Reihe mit Sean Connery in der Rolle des britischen Superagenten.
60307,Diary of a Wimpy Kid: Rodrick Rules,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",155,"Als Greg Heffley und sein älterer Bruder Rodrick nach den Sommerferien in die Mittelschule zurückkehren, müssen sie sich mit den fehlgeleiteten Versuchen ihrer Eltern auseinandersetzen, sie zueinander zu bringen."
670,Oldboy,Oldboy is the revenge drama from Director Park Chan-wook. Based on a Manga comic it depicts the suffering path of a man who must deal with the never ending torment of having unknowingly made someone his enemy.,209,"Oldboy ist das Rachedrama von Regisseur Park Chan-wook. Basierend auf einem Manga-Comic schildert es den Leidensweg eines Mannes, der sich mit der nicht enden wollenden Qual auseinandersetzen muss, jemanden unwissentlich zu seinem Feind gemacht zu haben."
671,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",412,"Harry Potter hat sein ganzes Leben lang unter der Treppe im Haus seiner Tante und seines Onkels gelebt. Doch an seinem 11. Geburtstag erfährt er, dass er ein mächtiger Zauberer ist - und dass auf ihn ein Platz an der Hogwarts-Schule für Hexerei und Zauberei wartet. Während er mit Hilfe des freundlichen Schulleiters lernt, seine neuen Kräfte zu nutzen, findet Harry die Wahrheit über den Tod seiner Eltern heraus - und über den Bösewicht, der dafür verantwortlich ist."
672,Harry Potter and the Chamber of Secrets,"Everyone's favorite novice wizard, Harry Potter, continues his high-flying adventures at Hogwarts. This time around, Harry ignores warnings not to return to school - that is, if he values his life - to investigate a mysterious series of attacks with Ron and Hermione.",267,"Harry Potter, der Lieblingszauberlehrling aller, setzt seine hochfliegenden Abenteuer in Hogwarts fort. Diesmal ignoriert Harry die Warnungen, nicht in die Schule zurückzukehren - wenn ihm sein Leben lieb ist -, um mit Ron und Hermine eine mysteriöse Serie von Angriffen zu untersuchen."
673,Harry Potter and the Prisoner of Azkaban,"Harry, Ron and Hermione return to Hogwarts for a third adventure and magic filled year in this follow-up to the first two Potter blockbusters. Harry comes face to face with danger yet again, this time in the form of escaped convict Sirius Black. In a bid for help, Harry turns to sympathetic Professor Lupin -- but will it be enough?",333,"Harry, Ron und Hermine kehren für ein drittes Jahr voller Abenteuer und Magie nach Hogwarts zurück - in diesem Nachfolger der ersten beiden Potter-Blockbuster. Erneut gerät Harry in Gefahr, diesmal in Form des entflohenen Sträflings Sirius Black. Um Hilfe zu erhalten, wendet sich Harry an den sympathischen Professor Lupin - aber wird das ausreichen?"
674,Harry Potter and the Goblet of Fire,"Young wizard Harry Potter starts his fourth year at Hogwarts, competes in the treacherous Tri-Wizard Tournament and faces the evil Lord Voldemort. Friends Ron and Hermione help Harry manage the pressure … but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.",290,"Der junge Zauberer Harry Potter beginnt sein viertes Jahr in Hogwarts, nimmt am tückischen Tri-Zauberer-Turnier teil und stellt sich dem bösen Lord Voldemort. Die Freunde Ron und Hermine helfen Harry, den Druck zu bewältigen ... aber Voldemort lauert auf seine Chance, Harry und alles, wofür er steht, zu vernichten."
675,Harry Potter and the Order of the Phoenix,"Returning for his fifth year of study at the venerable Hogwarts School of Witchcraft and Wizardry, the ever-maturing Harry Potter is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students -- dubbed ""Dumbledore's Army"" -- to defend themselves against the dark arts.",393,"Als er in sein fünftes Studienjahr an der ehrwürdigen Hogwarts-Schule für Hexerei und Zauberei zurückkehrt, muss der immer reifer werdende Harry Potter fassungslos feststellen, dass seine Warnungen vor der Rückkehr von Lord Voldemort ignoriert wurden. Da er keine andere Wahl hat, nimmt Harry die Sache selbst in die Hand und bildet eine kleine Gruppe von Schülern aus, die er ""Dumbledores Armee"" nennt, um sich gegen die dunklen Künste zu verteidigen."
676,Pearl Harbor,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",379,"Die lebenslange Freundschaft zwischen Rafe McCawley und Danny Walker wird auf eine harte Probe gestellt, als die beiden Kampfpiloten-Asse in eine Dreiecksbeziehung mit der schönen Marineschwester Evelyn Johnson verwickelt werden. Doch die Rivalität zwischen den Freunden, die zu Feinden wurden, wird sofort auf Eis gelegt, als sie sich im Zentrum des verheerenden Angriffs der Japaner auf Pearl Harbor am 7. Dezember 1941 wiederfinden."
8869,Eight Legged Freaks,"The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chris McCormack and Sheriff Sam Parker to mobilize an eclectic group of townspeople, including the Sheriff's young son, Mike, her daughter, Ashley, and paranoid radio announcer Harlan, into battle against the bloodthirsty eight-legged beasts.",434,"Die Bewohner einer ländlichen Bergbaustadt entdecken, dass ein unglücklicher Chemieunfall dazu geführt hat, dass Hunderte von kleinen Spinnen über Nacht zur Größe eines Geländewagens mutiert sind. Es liegt nun an dem Bergbauingenieur Chris McCormack und dem Sheriff Sam Parker, eine bunt gemischte Gruppe von Stadtbewohnern, darunter den jungen Sohn des Sheriffs, Mike, ihre Tochter Ashley und den paranoiden Radiosprecher Harlan, zum Kampf gegen die blutrünstigen achtbeinigen Biester zu mobilisieren."
8870,Red Planet,"Astronauts search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",118,"Astronauten suchen auf dem Mars nach Lösungen zur Rettung der sterbenden Erde, doch die Mission geht gründlich schief."
679,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story... all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",357,"Als Ripleys Rettungskapsel mehr als 50 Jahre später von einem Bergungsteam gefunden wird, stellt sie fest, dass sich Terraformer auf dem Planeten befinden, auf dem sie die außerirdische Spezies gefunden haben. Als die Firma eine Familie von Kolonisten aussendet, um ihre Geschichte zu untersuchen, bricht jeglicher Kontakt mit dem Planeten und den Kolonisten ab. Sie beauftragen Ripley und die kolonialen Marines, zurückzukehren und nach Antworten zu suchen."
680,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",239,"Ein Burger-liebender Auftragskiller, sein philosophischer Partner, eine drogensüchtige Gangsterbraut und ein abgewrackter Boxer treffen in diesem ausufernden, komödiantischen Krimikrimi aufeinander. Ihre Abenteuer entfalten sich in drei Geschichten, die auf geniale Weise in der Zeit hin und her reisen."
681,Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,214,"Diamanten werden gestohlen, um dann auf dem internationalen Markt weiterverkauft zu werden. James Bond schleust sich in eine Schmugglermission ein, um den Schuldigen zu finden. Die Mission führt ihn nach Las Vegas, wo Bond auf seinen Erzfeind Blofeld trifft."
8874,My Best Friend's Wedding,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",226,"Als sie erfährt, dass ihr langjähriger platonischer Freund Michael O'Neal die Debütantin Kimberly Wallace heiraten wird, erkennt die Gastrokritikerin Julianne Potter ihre wahren Gefühle für Michael - und macht sich daran, die Hochzeit zu sabotieren."
686,Contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",252,"Contact ist ein Science-Fiction-Film über eine Begegnung mit einer außerirdischen Intelligenz. Der Film basiert auf dem Roman von Carl Sagan und zeigt Jodie Foster in der Hauptrolle als auserwählte Wissenschaftlerin, die schwierige Entscheidungen zwischen ihrem Glauben, der Wahrheit und der Realität treffen muss."
8879,Pale Rider,A small gold mining camp is terrorised by a ruthless land owner wanting to take their land. Clint Eastwood arrives riding a pale horse just as a young girl is praying to God to help the miners. He is revealed to be a preacher with mysterious and possible otherworldly origins who teams up with the miners to defeat the land owner and the corrupt sheriff.,354,"Ein kleines Goldgräbercamp wird von einem skrupellosen Landbesitzer terrorisiert, der ihnen ihr Land wegnehmen will. Clint Eastwood kommt auf einem blassen Pferd angeritten, als ein junges Mädchen zu Gott betet, um den Bergleuten zu helfen. Er entpuppt sich als Prediger mit mysteriöser und möglicherweise jenseitiger Herkunft, der sich mit den Bergarbeitern zusammentut, um den Landbesitzer und den korrupten Sheriff zu besiegen."
688,The Bridges of Madison County,"A melancholy romance about a farmers wife who meets a photographer who’s way of life that is completely foreign to her leading her to become attracted to him. She is confronted with the difficult decision to go on with the relationship thus leaving her family, or to stay and continue her ordinary life until her death. Meryl Streep was nominated for an Oscar for her excellent performance.",390,"Eine melancholische Romanze über eine Bäuerin, die einen Fotografen kennenlernt, dessen Lebensweise ihr völlig fremd ist und der sie zu ihm hinzieht. Sie wird mit der schwierigen Entscheidung konfrontiert, die Beziehung fortzusetzen und damit ihre Familie zu verlassen oder zu bleiben und ihr normales Leben bis zu ihrem Tod weiterzuführen. Meryl Streep wurde für ihre hervorragende Leistung für einen Oscar nominiert."
691,The Spy Who Loved Me,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,252,"Russische und britische U-Boote mit Atomraketen an Bord verschwinden beide spurlos. England und Russland geben sich gegenseitig die Schuld, während James Bond versucht, das Rätsel um die verschwundenen Schiffe zu lösen. Aber auch der KGB hat einen Agenten auf den Fall angesetzt."
693,Meet the Fockers,"In this sequel to the hit comedy Meet the Parents, hard-to-crack ex-CIA man Jack Byrnes and his wife, Dina, head for the warmer climes of Florida to meet son-in-law-to-be Greg Focker's mom and dad, Bernie and Roz. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",348,"In dieser Fortsetzung der Erfolgskomödie Meet the Parents"" machen sich der knallharte Ex-CIA-Mann Jack Byrnes und seine Frau Dina auf den Weg in die wärmeren Gefilde Floridas, um die Eltern des zukünftigen Schwiegersohns Greg Focker, Bernie und Roz, kennenzulernen. Im Gegensatz zu ihren glücklich verheirateten Nachkommen finden sich die zukünftigen Schwiegereltern in einer Situation wieder, in der sich Gegensätze definitiv nicht anziehen."
694,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",239,"Jack Torrance nimmt einen Hausmeisterjob im Overlook Hotel an, wo er zusammen mit seiner Frau Wendy und seinem Sohn Danny den Winter über isoliert vom Rest der Welt leben muss. Aber sie sind nicht auf den Wahnsinn vorbereitet, der dort lauert."
696,Manhattan,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,140,"Das Leben eines geschiedenen Fernsehautors, der mit einer Teenagerin zusammen ist, wird noch komplizierter, als er sich in die Geliebte seines besten Freundes verliebt."
49849,Cowboys & Aliens,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",367,"Ein Fremder stolpert in die Wüstenstadt Absolution, ohne Erinnerung an seine Vergangenheit und mit einer futuristischen Fessel um sein Handgelenk. Mit der Hilfe der mysteriösen Schönheit Ella und dem eisernen Colonel Dolarhyde findet er sich an der Spitze einer unwahrscheinlichen Truppe von Cowboys, Gesetzlosen und Apachenkriegern wieder, die in einem epischen Showdown ums Überleben gegen einen gemeinsamen Feind aus dem Jenseits kämpfen."
698,Moonraker,During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind.,293,"Während des Transports einer Raumfähre stürzt eine Boeing 747 in den Atlantik, doch als man nach der zerstörten Fähre sucht, ist sie nicht da. James Bond untersucht die verschwundene Raumfähre und erfährt bald, dass der Besitzer der Fähre, Hugo Drax, die gesamte Menschheit töten will."
699,For Your Eyes Only,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,195,"Ein britisches Spionageschiff ist gesunken, und an Bord befand sich ein Hightech-Verschlüsselungsgerät. James Bond wird ausgesandt, um das Gerät mit den britischen Abschussanweisungen zu finden, bevor die feindlichen Sowjets es in die Hände bekommen."
700,Octopussy,James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,228,"James Bond wird mit Ermittlungen beauftragt, nachdem ein anderer ""00""-Agent mit einem unbezahlbaren Farberge-Ei tot aufgefunden wird. James Bond geht dem Geheimnis nach und deckt einen Schmuggelskandal und einen russischen General auf, der einen neuen Weltkrieg anzetteln will."
703,Annie Hall,The neurotic New Yorker Woody Allen tells one of the greatest romantic comedies to be set in the city of New York.,114,"Der neurotische New Yorker Woody Allen erzählt eine der größten romantischen Komödien, die in der Stadt New York spielen."
707,A View to a Kill,A newly developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin.,297,"Ein von Zorin Industries für die britische Regierung neu entwickelter Mikrochip, der die elektromagnetische Strahlung einer Atomexplosion überstehen kann, ist in die Hände des KGB gelangt. James Bond muss herausfinden, wie und warum. Sein Verdacht führt ihn bald zu Max Zorin, dem Leiter der Großindustrie."
708,The Living Daylights,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,230,"James Bond hilft einem russischen General bei der Flucht in den Westen. Bald findet er heraus, dass der KGB ihn töten will, weil er dem General geholfen hat. Kurze Zeit später wird der General vom Geheimdienst entführt, was 007 misstrauisch werden lässt."
709,Licence to Kill,James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge.,185,"James Bond und sein amerikanischer Kollege Felix Leiter verhaften den Drogenboss Sanchez, dem die Flucht gelingt und der sich an Felix und seiner Frau rächt. Bond kennt nur eines: Rache."
710,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,175,"James Bond muss den mysteriösen Kopf des Janus-Syndikats enttarnen und verhindern, dass der Anführer das Waffensystem GoldenEye einsetzt, um verheerende Rache an Großbritannien zu üben."
711,Finding Forrester,Gus van Sant tells the story of a young African American man named Jamal who confronts his talents while living on the streets of the Bronx. He accidentally runs into an old writer named Forrester who discovers his passion for writing. With help from his new mentor Jamal receives a scholarship to a private school.,315,"Gus van Sant erzählt die Geschichte eines jungen Afroamerikaners namens Jamal, der auf den Straßen der Bronx lebt und sich mit seinen Talenten auseinandersetzt. Zufällig trifft er auf einen alten Schriftsteller namens Forrester, der seine Leidenschaft für das Schreiben entdeckt. Mit Hilfe seines neuen Mentors erhält Jamal ein Stipendium für eine Privatschule."
712,Four Weddings and a Funeral,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,206,"Four Weddings And A Funeral ist eine britische Komödie über einen Briten namens Charles und eine Amerikanerin namens Carrie, die zahlreiche Hochzeiten hinter sich haben, bevor sie feststellen, ob sie zueinander passen."
82633,Lawless,"Set in the Depression-era Franklin County, Virginia, a bootlegging gang is threatened by authorities who want a cut of their profits.",133,"Der Film spielt in Franklin County, Virginia, in der Zeit der Depression. Eine Schmugglerbande wird von den Behörden bedroht, die einen Teil ihrer Gewinne einfordern."
714,Tomorrow Never Dies,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,241,"Ein geistesgestörter Medienmogul inszeniert internationale Zwischenfälle, um die Supermächte der Welt gegeneinander auszuspielen. Jetzt muss 007 in einem adrenalingeladenen Kampf gegen diesen bösen Drahtzieher antreten, um seine Schreckensherrschaft zu beenden und ein globales Pandämonium zu verhindern."
8909,Wanted,"Doormat Wesley Gibson discovers that his recently murdered father -- who Wesley never knew -- belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",248,"Der Fußabtreter Wesley Gibson findet heraus, dass sein kürzlich ermordeter Vater - den Wesley nie gekannt hat - einer geheimen Gilde von Auftragskillern angehörte. Nachdem eine in Leder gekleidete Sexbombe Wesley in die Gesellschaft aufgenommen hat, verfeinert er seine angeborenen Tötungsfähigkeiten und wird zum Rächer."
221902,"Two Days, One Night",Sandra is a young woman who has only one weekend to convince her colleagues they must give up their bonuses in order for her to keep her job — not an easy task in this economy.,176,"Sandra ist eine junge Frau, die nur ein Wochenende Zeit hat, um ihre Kollegen davon zu überzeugen, dass sie auf ihre Prämien verzichten müssen, damit sie ihren Job behalten kann - keine leichte Aufgabe in dieser Wirtschaftslage."
8913,Pet Sematary,"Dr. Louis Creed's family moves into the country house of their dreams and discover a pet cemetery at the back of their property. The cursed burial ground deep in the woods brings the dead back to life -- with ""minor"" problems. At first, only the family's cat makes the return trip, but an accident forces a heartbroken father to contemplate the unthinkable.",357,"Die Familie von Dr. Louis Creed zieht in das Landhaus ihrer Träume und entdeckt einen Haustierfriedhof auf der Rückseite ihres Grundstücks. Die verfluchte Begräbnisstätte tief im Wald erweckt die Toten wieder zum Leben - mit ""kleinen"" Problemen. Zunächst kehrt nur die Katze der Familie zurück, doch ein Unfall zwingt den Vater mit gebrochenem Herzen, das Undenkbare in Erwägung zu ziehen."
8914,Deep Blue Sea,"On a remote former submarine refueling facility called Aquatica, a team of scientists are searching for a cure for Alzheimer's disease. Dr. Susan McAlester (Saffron Burrows) genetically engineers three Mako sharks, intending to increase their brain capacity so that they can harvest the tissue as a cure for Alzheimer's. Unfortunately, the increased brain capacity also makes the sharks smarter, faster, and more dangerous. Aquatica's financial backers are skeptical and nervous about the tests, and send a corporate executive (Samuel L. Jackson) to visit the facility.",569,"In einer abgelegenen ehemaligen U-Boot-Betankungsanlage namens Aquatica sucht ein Team von Wissenschaftlern nach einem Heilmittel für die Alzheimer-Krankheit. Dr. Susan McAlester (Saffron Burrows) baut drei Mako-Haie gentechnisch um, um deren Gehirnkapazität zu erhöhen, damit sie das Gewebe als Heilmittel für Alzheimer ernten können. Leider macht die erhöhte Gehirnkapazität die Haie auch schlauer, schneller und gefährlicher. Die Geldgeber von Aquatica stehen den Versuchen skeptisch und nervös gegenüber und schicken einen leitenden Angestellten (Samuel L. Jackson) zur Besichtigung der Anlage."
